DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthylene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthylene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Anthracene,,Extractable,0.01,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Anthracene,,Extractable,0.01,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benz[a]anthracene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benz[a]anthracene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[a]pyrene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[a]pyrene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
